Site,Manufacturer,Year,Processor,Accelerator/Co-Processor,Cores per Socket,Total Cores,Accelerator/Co-Processor Cores
DOE/SC/Pacific Northwest National Laboratory,Atipa Technology,2013,Xeon E5-2670 8C 2.6GHz,Intel Xeon Phi 5110P,8,194616,171720
Meteo France,"Bull, Atos Group",2013,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,24192,0
ROMEO HPC Center - Champagne-Ardenne,"Bull, Atos Group",2013,Intel Xeon E5-2650v2  8C 2.6GHz,NVIDIA Tesla K20x,8,5720,3640
Indiana University,Cray Inc.,2013,Opteron 6276 16C 2.3GHz,NVIDIA Tesla K20,16,31288,8788
Deutscher Wetterdienst,Cray Inc.,2013,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,17648,0
"Center for Computational Sciences, University of Tsukuba",Cray Inc.,2013,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K20x,10,4864,3584
Cambridge University,Dell,2013,Intel Xeon E5-2630v2 6C 2.6GHz,NVIDIA Tesla K20,6,4864,3328
Instituto Tecnológico y de Energías Renovables S.A.,Fujitsu,2013,Xeon E5-2670 8C 2.6GHz,None,8,16384,0
Purdue University,Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,Intel Xeon Phi 5110P,8,77520,68400
Clemson University,Hewlett-Packard,2013,Xeon E5-2665 8C 2.4GHz,NVIDIA Tesla K20m,8,16996,9380
University of Southern California,Hewlett-Packard,2013,Xeon E5-2665 8C 2.4GHz,NVIDIA Tesla K20m,8,11722,7356
Service Provider,Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,42848,0
Energy Company (D),Hewlett-Packard,2013,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,50400,0
Software Company (M),Hewlett-Packard,2013,Xeon E5-2450L 8C 1.8GHz,None,8,75664,0
IT Service Provider,Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,NVIDIA 2075,8,43264,10976
Service Provider,Hewlett-Packard,2013,Xeon E5-2640 6C 2.5GHz,None,6,39228,0
Software Company (M),Hewlett-Packard,2013,Xeon E5-2450L 8C 1.8GHz,None,8,62848,0
Software Company (M),Hewlett-Packard,2013,Xeon E5-2450L 8C 1.8GHz,None,8,62416,0
Indian Institute of Technology - Kanpur,Hewlett-Packard,2013,Intel Xeon E5-2670v2  10C 2.5GHz,None,10,17980,0
Software Company (M),Hewlett-Packard,2013,Xeon E5-2450L 8C 1.8GHz,None,8,57648,0
IT Services Provider ,Hewlett-Packard,2013,Xeon E5-2630 6C 2.3GHz,None,6,36792,0
IT Service Provider (D),Hewlett-Packard,2013,Xeon E5-2640 6C 2.5GHz,None,6,32604,0
IT Service Provider (B),Hewlett-Packard,2013,Xeon E5-2640 6C 2.5GHz,None,6,32436,0
IT Service Provider,Hewlett-Packard,2013,Xeon E5-2640 6C 2.5GHz,None,6,31524,0
Banking (M),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,29696,0
IT Services Provider ,Hewlett-Packard,2013,Xeon E5-2620 6C 2GHz,None,6,39264,0
IT Service Provider (D),Hewlett-Packard,2013,Xeon E5-2640 6C 2.5GHz,None,6,30000,0
Energy Company,Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,18688,0
Logistic Services (E),Hewlett-Packard,2013,Xeon E5-2640 6C 2.5GHz,None,6,29580,0
Geoscience (P),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,18176,0
IT Service Provider (B),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,19712,0
Geoscience (P),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,17920,0
Service Provider,Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,19456,0
Automative Company,Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,15360,0
Cerner Corp.,Hewlett-Packard,2013,Xeon E5-2650 8C 2GHz,None,8,25856,0
IT Service Provider (D),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,18440,0
IT Service Provider (C),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,18432,0
IT Service Provider (B),Hewlett-Packard,2013,Xeon E5-2630 6C 2.3GHz,None,6,29064,0
Web Content Provider,Hewlett-Packard,2013,Xeon E5-2650 8C 2GHz,None,8,33920,0
IT Service Provider (D),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,16872,0
IT Provider (P),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,14192,0
IT Provider (P),Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,14192,0
Logistic Services,Hewlett-Packard,2013,Xeon E5-2630 6C 2.3GHz,None,6,27156,0
Software Company (M),Hewlett-Packard,2013,Xeon E5-2450 8C 2.1GHz,None,8,29920,0
Web-Service Provider,Hewlett-Packard,2013,Xeon E5-2630 6C 2.3GHz,None,6,25920,0
Manufacturing Company,Hewlett-Packard,2013,Xeon E5-2670 8C 2.6GHz,None,8,13264,0
Electrionic Industry,Hewlett-Packard,2013,Intel Xeon E5-2658v2 10C 2.4GHz,None,10,20272,0
Software Company (M),Hewlett-Packard,2013,Xeon E5-2430L 8C 2GHz,None,8,29556,0
Telecommunication Company,Hewlett-Packard,2013,Xeon E5-2630 6C 2.3GHz,None,6,25056,0
Software Company (M),Hewlett-Packard,2013,Xeon E5-2430L 8C 2GHz,None,8,29172,0
Service Provider,Hewlett-Packard,2013,Xeon E5-2450 8C 2.1GHz,None,8,27392,0
IT Services Provider (B),Hewlett-Packard,2013,Xeon E5-2650 8C 2GHz,None,8,28672,0
Service Provider,Hewlett-Packard,2013,Xeon E5-2680 8C 2.7GHz,None,8,13872,0
Service Provider,Hewlett-Packard,2013,Xeon E5-2630 6C 2.3GHz,None,6,22632,0
"Research Institute for Information Technology, Kyushu University",Hitachi/Fujitsu,2013,Xeon E5-2680 8C 2.7GHz,"NVIDIA K20/K20x, Xeon Phi 5110P",8,222072,157128
IBM Development Engineering,IBM,2013,POWER7 8C 3.84GHz,None,8,62944,0
Indian Institute of Tropical Meteorology,IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,38016,0
Swiss National Supercomputing Centre (CSCS),IBM,2013,Power BQC 16C 1.6GHz,None,16,65536,0
Exploration & Production - Eni S.p.A.,IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,24000,0
EDF R&D,IBM,2013,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,18144,0
National Center for Medium Range Weather Forecast,IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,16832,0
University of Southampton,IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,12000,0
Maui High-Performance Computing Center (MHPCC),IBM,2013,Xeon E5-2670 8C 2.6GHz,None,8,12096,0
Saudi Aramco,IBM/Lenovo,2013,Xeon E5-2670 8C 2.6GHz,None,8,24336,0
Geoscience,IBM/Lenovo,2013,Xeon E5-2670 8C 2.6GHz,None,8,12096,0
Technische Universitaet Darmstadt,IBM/Lenovo,2013,Xeon E5-2670 8C 2.6GHz,None,8,12288,0
Max-Planck-Gesellschaft MPI/IPP,Lenovo/IBM,2013,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,65320,0
Max-Planck-Gesellschaft MPI/IPP,Lenovo/IBM,2013,Intel Xeon E5-2680v2  10C 2.8GHz,NVIDIA Tesla K20x,10,15840,9240
"GSIC Center, Tokyo Institute of Technology",NEC,2013,Intel Xeon E5-2620v2 6C 2.1GHz,NVIDIA Tesla K80,6,4872,4368
"GSIC Center, Tokyo Institute of Technology",NEC/HP,2013,Xeon X5670 6C 2.93GHz,NVIDIA Tesla K20x,6,76032,59136
Center for Development of Advanced Computing (C-DAC),Netweb Technologies,2013,Xeon E5-2670 8C 2.6GHz,Intel Xeon Phi 5110P,8,30056,26520
National Super Computer Center in Guangzhou,NUDT,2013,Intel Xeon E5-2692v2 12C 2.2GHz,Intel Xeon Phi 31S1P,12,3120000,2736000
Amazon Web Services,Self-made,2013,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,26496,0
Total Exploration Production,SGI,2013,Xeon E5-2670 8C 2.6GHz,None,8,110400,0
Air Force Research Laboratory,SGI,2013,Xeon E5-2670 8C 2.6GHz,None,8,18432,0
TOTAL,SGI,2013,Xeon E5-2670 8C 2.6GHz,None,8,13824,0
T-Systems,SGI,2013,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,13440,0
Internet Company B,Sugon,2013,Xeon E5-2620 6C 2GHz,None,6,38400,0
Internet Company,Sugon,2013,Xeon E5-2407 4C 2.2GHz,None,4,28800,0
GSI Helmholtz Center,"AMD, ASUS, FIAS, GSI",2014,Intel Xeon E5-2690v2 10C 3GHz,AMD FirePro S9150,10,10976,9856
DOE/Knolls Atomic Power Laboratory,Atipa Technology,2014,Xeon E5-2680v3 12C 2.5GHz,None,12,12768,0
Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"Bull, Atos Group",2014,Xeon E5-2690v3 12C 2.6GHz,None,12,50544,0
Meteo France,"Bull, Atos Group",2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,23760,0
CALMIP / University of Toulouse,"Bull, Atos Group",2014,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,12240,0
"International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull, Atos Group",2014,Xeon E5-2450 8C 2.1GHz,Intel Xeon Phi 5110P,8,24480,21600
Vienna Scientific Cluster,ClusterVision,2014,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,32768,0
Government,Cray Inc.,2014,Intel Xeon E5-2660v2 10C 2.2GHz,NVIDIA Tesla K40,10,72800,62400
Government,Cray Inc.,2014,Intel Xeon E5-2697v2 12C 2.7GHz,None,12,225984,0
Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Cray Inc.,2014,Xeon E5-2698v3 16C 2.3GHz,None,16,100064,0
DOE/SC/LBNL/NERSC,Cray Inc.,2014,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,133824,0
